Age_Years,Mileage_km,Engine_CC,Owner_Count,Accident_History,Color_Popularity_Score,Local_Fuel_Price_Index,Service_Center_Visits,Resale_Price_USD
15,104950,1800,1,1,1.3,68.7,0,15223.79
6,80133,1800,2,1,8.7,91.3,3,25462.37
5,57520,2000,1,0,2.5,71.8,2,36087.5
14,193643,1000,1,0,5.6,64.6,5,8585.69
5,65920,1200,2,0,4.8,72.1,5,27615.82
1,4733,2000,1,0,1.1,63.3,3,42209.58
7,104534,2000,3,0,9.2,68.4,3,28842.88
12,167265,3000,1,0,5.1,89.6,1,30496.89
3,29580,2500,4,0,9.6,99.1,1,40713.51
7,68340,2500,2,0,3.6,65.2,1,35560.78
2,21834,1500,4,0,8.8,86.5,7,32285.16
10,77724,1500,3,0,9.3,94.9,3,22428.81
7,57146,1200,1,0,6.0,74.1,0,25148.85
5,77964,1800,2,0,2.8,82.3,3,30423.13
3,29714,2500,1,0,7.2,64.3,4,43352.7
9,89842,1500,3,0,5.9,73.2,1,22349.52
10,121246,1800,2,0,9.5,88.0,5,23883.94
15,174481,1200,1,1,5.0,119.4,5,7189.9
6,77575,1200,3,0,3.4,119.8,0,22620.93
2,20712,1200,1,1,2.2,118.8,3,31029.52
13,142125,1000,2,0,7.3,85.4,4,13246.32
10,99546,2500,2,0,9.8,64.8,2,31515.83
11,169880,1500,1,1,1.3,79.4,6,14756.38
1,10329,2000,2,1,7.7,74.3,2,37114.9
4,67530,1800,3,0,9.3,60.8,1,33105.25
12,84281,1200,1,0,1.7,65.7,3,17988.89
13,197541,1200,2,0,2.0,87.2,2,10591.35
6,74217,2000,1,0,7.2,80.4,3,34545.26
12,88263,1200,2,0,6.8,70.8,3,17185.27
13,160941,2500,1,1,1.6,103.0,3,23799.24
6,77690,1200,3,0,8.5,81.4,3,22445.4
14,81713,1800,3,0,5.7,111.1,3,20189.28
4,41734,2000,1,0,9.2,74.5,3,38485.95
3,42620,1200,1,0,8.9,92.3,4,30558.9
10,84077,1200,2,0,8.3,71.0,3,19478.93
10,104831,3000,2,0,5.6,89.7,3,33931.61
2,17878,1200,1,0,3.3,69.1,4,33769.62
13,120948,1500,1,0,5.6,69.7,3,17514.23
3,45692,1500,1,0,1.9,96.7,3,33008.55
12,164624,1200,4,0,6.9,75.8,5,10880.86
0,500,2000,1,1,2.2,70.3,4,41278.71
12,192537,2000,3,0,5.6,115.8,2,19875.25
12,179971,1500,1,0,1.5,62.6,4,16672.87
12,102070,2000,3,0,3.7,93.9,5,21868.11
10,139523,1200,1,0,3.1,92.9,3,19503.77
7,53868,1000,1,0,6.6,75.0,3,23296.6
11,174252,1800,3,0,8.1,87.2,5,18013.97
4,44960,3000,3,0,1.5,65.3,3,42090.89
12,151790,1000,1,1,8.7,103.3,1,9688.07
8,57089,1200,1,0,8.7,73.3,8,22821.83
7,98669,1500,1,0,4.1,71.6,3,25549.33
8,51238,2000,1,0,6.9,78.9,2,32264.26
9,78617,1000,1,1,4.6,114.1,2,16674.38
0,1498,1500,3,1,2.4,107.8,2,33852.73
2,30063,2000,1,0,5.8,116.8,1,38796.15
3,18329,1500,2,0,1.8,99.1,2,33483.84
1,16431,1200,1,0,8.9,99.8,2,35739.44
7,86728,1200,1,1,9.3,88.8,4,20433.59
10,61685,1500,2,0,8.4,114.3,4,23770.16
10,64025,1500,1,0,6.1,90.7,2,22809.89
7,51533,2500,2,0,6.0,81.3,2,37699.1
13,163948,1800,1,0,9.9,98.4,2,18542.87
9,131393,1800,3,1,3.2,92.8,4,20982.81
1,7947,3000,2,0,1.7,67.4,2,49581.54
12,175340,1500,3,0,6.1,83.6,4,15660.12
9,62218,1500,1,0,4.0,78.8,0,26054.09
10,140581,2500,1,0,3.9,110.8,5,29366.65
9,138025,1200,1,0,1.1,82.7,3,20321.61
8,113064,2000,2,0,6.4,109.3,3,27229.05
1,12744,2000,1,1,3.4,86.5,7,38876.66
8,112121,1000,1,0,2.7,105.2,2,19503.36
12,75160,1500,1,0,1.4,68.1,0,21732.39
4,34607,1200,1,0,4.3,115.5,1,29326.89
9,65255,1200,1,0,8.9,88.8,4,22658.5
0,1361,1500,1,0,4.0,75.6,3,37571.54
5,69940,1200,1,0,7.1,74.5,2,27225.51
6,72301,2000,2,0,7.8,75.9,3,32086.21
15,220000,2500,1,0,4.0,82.0,4,19963.86
3,24172,2000,1,0,8.4,103.1,4,38512.75
4,48446,1200,2,0,7.2,117.0,1,28340.55
6,53352,1200,2,0,6.0,100.1,1,25144.45
15,128611,1200,1,1,1.0,92.8,3,9546.63
13,163667,1200,2,0,1.3,86.9,2,11779.98
0,500,2500,4,0,9.9,109.7,2,46988.66
3,32262,1500,2,1,8.0,111.0,4,30551.41
13,85294,1200,3,0,9.4,77.6,2,15557.57
0,500,2000,2,0,9.1,117.2,2,43232.4
13,82158,1500,1,0,1.2,83.7,5,18171.55
4,61845,1000,1,0,8.1,108.0,3,24415.08
14,184700,1200,2,0,5.1,118.0,7,10229.12
4,32189,1800,4,0,8.1,102.2,0,31310.77
6,43143,2000,1,0,1.1,69.7,3,34045.64
10,80818,1200,1,0,3.6,95.2,3,20948.29
2,23169,2500,2,0,7.8,67.1,4,44185.78
8,83227,2500,1,0,8.1,107.3,2,33630.34
8,102006,2000,2,0,6.6,76.9,3,28769.41
12,148513,1200,2,0,3.7,101.7,2,14529.85
15,175843,1000,2,1,3.8,114.6,4,5149.8
10,78695,2500,3,0,9.7,70.9,1,30290.92
6,97512,1500,2,0,5.0,83.6,3,27656.78
6,54892,1800,2,0,5.0,98.8,0,30936.72
6,68680,2000,2,0,6.0,85.2,4,33806.18
13,170912,1200,3,0,4.7,70.5,6,10747.63
5,60350,2000,3,0,6.0,61.7,2,33502.8
2,30806,2500,1,0,4.9,84.4,1,43860.01
5,41366,2000,2,0,8.4,99.0,0,34293.54
0,500,1500,1,0,9.2,94.4,3,39146.58
1,13263,2500,3,0,9.4,69.4,3,43783.91
1,13451,1800,2,0,6.1,87.0,4,36248.92
12,82487,2000,1,0,5.0,82.2,4,22831.51
11,84646,2000,1,0,7.3,76.5,1,27786.11
11,99383,2000,1,0,8.5,103.8,1,27085.02
7,63737,1200,2,0,6.1,78.6,4,25780.44
11,110020,1000,1,0,7.3,92.4,1,16483.32
2,20783,1200,1,0,7.7,115.4,1,31501.4
14,170697,1500,3,0,7.1,92.4,5,12640.99
8,83115,1500,2,1,7.7,97.0,6,21570.1
15,147495,1800,1,0,2.9,64.4,1,16506.39
2,18103,1500,1,0,5.5,70.7,2,36969.1
7,78214,2000,4,0,6.3,66.1,0,30845.9
11,100058,2500,2,1,1.0,105.9,1,26777.83
7,44963,1200,2,0,8.7,110.2,1,24916.9
7,81069,2000,1,0,6.5,71.2,4,30236.45
2,15973,1800,1,1,2.2,73.2,2,36472.99
6,55424,1800,1,0,8.3,79.4,1,31974.61
3,35773,1200,2,1,7.5,95.5,2,26479.96
4,48276,2000,1,0,7.8,97.3,1,36760.66
10,130674,3000,1,0,4.5,101.2,2,34192.55
10,126574,2000,2,0,8.7,114.3,1,25136.37
9,112104,2500,3,0,4.7,77.7,6,29107.09
5,51627,3000,2,1,6.1,99.5,1,40905.17
15,206289,1500,1,0,1.0,93.6,2,11973.03
1,16020,1800,1,1,6.8,78.4,2,37272.0
5,48993,1500,1,0,7.5,114.4,3,30464.27
1,12019,3000,1,0,6.1,65.7,2,50286.56
5,43745,1000,2,1,5.5,102.7,5,21190.39
15,168731,1500,1,0,8.3,103.7,3,14440.89
5,72616,2500,2,1,7.1,114.9,3,33694.03
14,207787,1200,3,0,3.5,91.1,8,8211.81
7,105686,2000,4,0,9.6,79.3,4,27595.05
11,116941,1500,1,0,7.4,109.7,4,20796.75
7,77502,3000,1,0,9.9,106.2,2,39026.92
4,49624,2500,1,0,9.7,90.0,3,40559.21
12,106083,1500,1,0,9.3,106.1,6,20741.99
15,216514,2000,1,0,7.8,76.1,2,15766.34
4,49042,1500,1,0,6.5,95.4,2,31590.86
12,97140,1800,2,1,2.5,111.9,3,19174.88
4,24536,1800,1,0,5.9,79.1,2,35482.51
11,164360,2000,3,0,7.9,89.0,3,20326.32
12,79643,1000,1,1,5.7,117.1,0,13483.35
7,61038,1200,1,0,8.8,107.9,3,25997.96
11,104485,2000,1,0,2.0,113.2,2,24802.13
4,31167,1800,1,0,4.4,83.1,1,34960.43
1,9581,1500,1,0,5.6,119.8,5,35775.41
1,11794,1000,4,0,4.9,69.2,1,30566.53
7,37435,1500,1,0,2.0,91.1,5,28782.29
14,193630,2500,1,0,2.4,88.8,1,22021.48
2,31744,1000,2,0,8.5,107.9,3,29554.56
7,66952,1500,1,0,5.4,114.5,6,26453.94
11,80513,2500,2,0,1.4,103.9,5,29496.77
3,36059,1000,1,0,1.1,97.6,2,27713.21
11,82344,2000,3,0,5.3,85.6,4,23984.43
4,39318,1200,1,1,2.5,90.6,3,27552.28
12,184387,2500,1,0,7.3,90.6,1,24842.77
9,148497,2000,2,0,8.2,61.2,4,25587.24
8,116085,2500,3,0,3.1,90.2,2,30623.5
2,20197,1200,1,0,6.3,111.4,3,33374.69
7,94031,1800,2,0,2.4,102.6,2,27195.12
13,174671,2000,1,0,3.7,107.7,5,20325.13
0,4520,1200,1,1,9.0,83.4,3,32544.15
12,151363,1200,1,0,5.9,91.7,1,17383.69
7,45144,1000,2,1,9.0,62.0,3,20485.89
11,91075,3000,1,0,3.0,83.0,3,34818.01
10,108119,2000,2,0,4.0,88.5,2,26451.17
6,48628,1800,1,0,5.2,75.3,2,34136.1
4,25213,2000,3,0,5.3,61.9,2,34098.74
10,140452,1800,3,1,10.0,101.4,3,17721.42
2,36997,1500,1,1,2.0,86.1,2,31221.93
9,107398,1500,1,1,8.7,84.9,7,19841.7
1,20340,1800,1,0,8.8,75.0,3,38935.21
10,157945,1200,3,0,6.0,92.3,3,14318.64
10,69551,2500,1,0,4.1,86.3,5,34233.78
1,9521,2000,2,1,5.7,88.4,4,36141.22
12,119517,1500,1,0,3.6,94.9,4,19241.55
6,41119,1800,2,0,8.2,60.4,2,32590.9
12,167174,1200,1,0,5.5,114.5,1,14549.99
0,500,3000,2,0,9.3,64.3,1,50296.05
2,22795,2500,4,0,6.6,87.1,1,40360.43
7,48593,2500,1,1,5.6,72.4,3,33956.33
3,25229,1500,3,1,7.4,91.4,2,28333.37
5,75368,1200,1,1,5.5,76.8,3,23743.17
10,61466,1200,1,0,9.1,111.6,4,20372.74
2,15714,1000,3,0,2.7,83.8,0,30024.61
10,88469,1200,2,0,9.8,98.3,5,19622.88
1,9821,1000,2,0,8.3,74.9,4,31778.89
2,30814,3000,1,0,8.7,61.2,4,49710.33
9,98002,1000,1,0,5.3,84.2,0,18945.88
12,81118,1200,1,0,8.5,92.2,1,17796.44
2,8484,2000,2,0,3.8,87.6,2,39025.25
4,54167,1800,1,0,7.9,117.7,3,34089.22
14,172210,2000,1,0,2.3,102.4,2,19168.68
15,184629,1800,1,0,3.8,119.7,3,14994.07
9,119845,2500,1,1,5.0,77.7,2,26836.19
7,94743,1800,1,0,3.9,107.3,2,28481.71
5,38059,1800,1,1,4.5,93.3,3,30961.18
9,87242,2000,3,0,8.4,96.7,4,27146.76
9,102706,1500,2,0,3.3,119.2,4,23807.81
4,37183,1500,1,0,7.7,99.2,4,34086.7
0,500,1500,2,1,1.7,113.9,5,35160.9
2,28527,1200,3,0,7.9,103.5,5,31760.57
15,196016,2000,1,0,8.1,67.6,2,17719.39
6,79115,1200,1,0,4.6,102.0,4,26978.75
7,75163,1200,1,0,7.5,89.1,2,26133.45
7,105727,1200,1,0,9.2,115.1,2,23948.34
12,145215,2000,2,0,8.2,108.4,2,22501.05
1,16395,1500,4,0,4.5,66.2,2,33827.51
1,7869,1800,1,0,5.4,68.0,3,39758.69
4,48029,2500,2,0,8.0,64.2,6,39634.65
7,83320,1000,1,0,3.6,89.6,5,22859.75
10,71234,2000,2,1,8.2,64.8,4,23646.15
7,73749,1500,2,1,4.0,103.4,5,22959.29
7,107304,1200,1,0,8.3,93.1,1,20901.66
15,182379,1800,1,0,1.8,110.2,4,17393.73
2,18341,2500,2,0,1.4,76.8,3,43376.21
9,84939,1200,4,0,10.0,91.1,4,19437.75
8,63334,1800,1,0,8.8,67.0,3,30562.0
7,49629,1200,1,0,8.9,113.1,4,25886.94
12,173492,1800,1,1,9.6,70.5,3,17792.78
4,36258,1800,2,0,4.9,66.1,2,33050.85
15,131382,1800,2,1,3.6,72.3,1,16195.45
5,58471,1800,2,0,2.2,108.4,2,32997.21
8,47567,1200,2,0,5.5,66.3,1,23847.78
8,64212,1800,3,0,3.0,96.9,5,28693.01
13,165454,1800,3,0,9.4,104.8,2,16052.81
7,82921,1800,1,0,1.0,105.1,3,29258.82
4,73102,1000,2,0,2.3,71.4,3,26610.24
0,7207,1500,1,0,3.2,63.7,4,36595.33
5,52228,1500,1,0,2.8,86.9,0,31004.14
13,175532,1000,3,0,3.0,72.1,2,9930.02
0,500,1200,2,0,6.9,102.0,6,36749.8
14,177265,1500,4,1,3.9,81.4,4,7198.42
8,124589,2000,1,0,6.5,87.0,5,29742.15
2,23649,1200,2,0,9.0,66.8,2,31132.29
4,58333,2000,1,0,6.4,94.1,1,35472.72
8,50728,1800,1,0,7.3,71.1,3,28717.46
5,63573,2000,1,1,4.3,100.7,4,30310.16
1,10995,1500,2,0,2.4,64.3,2,36418.38
10,116775,1500,1,0,3.9,118.6,2,20844.02
10,127080,1800,3,0,9.7,101.1,5,22947.65
1,10416,2500,1,0,6.6,70.9,5,45384.6
4,66802,1500,1,0,3.5,60.8,3,29902.19
3,23446,1800,2,0,5.1,80.1,2,35419.9
10,135907,1800,1,0,8.5,69.2,2,23987.23
11,148456,2000,3,0,7.0,73.1,5,21719.88
11,98609,1000,2,0,6.0,112.4,5,16143.4
15,107316,1500,1,0,9.0,96.2,8,17147.38
12,78375,1500,2,1,7.1,70.6,4,18147.3
5,71319,2500,2,0,6.8,93.4,3,37461.56
1,10333,1500,2,0,2.7,75.3,2,35145.21
9,148826,1500,3,1,2.0,118.6,1,16621.33
14,153126,3000,2,0,9.7,62.0,4,28632.9
15,220000,1500,2,0,6.4,103.9,3,9235.35
3,33348,1200,1,0,4.7,106.4,5,30147.8
3,49546,1200,2,1,6.3,64.0,0,25473.18
0,7842,1000,4,0,1.6,70.3,3,30860.07
2,18197,1000,2,0,8.4,83.1,8,29396.19
8,108459,1500,2,0,2.9,112.1,3,24255.7
8,127916,2000,1,0,8.2,92.2,3,26699.17
5,66896,2000,2,0,5.8,99.3,5,32017.93
4,20189,1000,4,0,3.5,107.0,5,25591.01
13,124507,1800,1,1,1.3,109.7,2,17389.12
7,47090,1200,1,0,8.3,88.6,5,24421.78
12,84704,2500,2,0,2.6,90.5,5,28542.23
15,188694,1200,1,0,1.5,103.1,2,9797.85
5,62966,1800,2,1,7.8,75.8,4,28262.56
3,38362,1500,1,0,4.2,111.3,3,33560.39
15,216300,1800,1,0,4.5,61.2,3,13721.06
10,143070,1500,2,1,3.2,71.7,2,17891.92
4,57225,2000,2,0,8.7,108.0,4,35464.26
9,61954,1200,2,1,3.7,80.4,4,17935.68
8,64807,2500,2,0,2.9,69.0,1,34668.77
14,170322,1500,2,0,3.8,71.2,4,14047.13
4,55471,2000,2,1,2.8,91.8,1,32997.06
15,80068,2000,2,0,3.9,110.8,6,20806.59
14,150536,3000,2,0,1.7,64.2,2,29016.48
2,18303,1200,2,0,2.4,61.8,1,31914.02
2,3593,1200,1,0,4.8,87.9,2,34780.72
8,75327,1200,1,0,8.9,117.4,2,24472.09
0,5300,1200,2,0,1.5,76.7,4,34938.79
4,50687,1800,3,0,2.9,117.6,0,32383.04
6,55422,3000,2,0,9.2,113.3,1,42261.97
15,219561,3000,1,0,9.0,77.0,3,24807.35
15,145335,1800,2,1,7.1,109.0,2,14922.2
2,25463,1800,1,0,3.2,101.2,3,37924.77
14,127948,2500,2,0,4.8,90.7,2,24477.27
1,14818,2500,3,0,2.9,85.4,3,43569.53
11,107357,1200,2,0,2.2,108.9,3,16427.21
13,115965,1800,2,0,4.4,107.6,3,20732.46
14,210383,2000,1,0,6.2,105.4,5,16794.76
3,21430,1500,1,0,4.2,119.9,1,35174.0
14,91383,1500,3,1,6.5,88.7,3,12224.14
1,4683,3000,2,1,3.7,108.4,3,46753.79
8,105757,3000,2,0,4.1,111.7,3,38276.13
7,99828,2500,1,1,8.1,72.7,2,29920.71
5,76767,2000,1,1,8.9,62.5,5,32511.92
0,500,1200,1,0,3.9,84.3,1,35494.74
12,123235,1500,1,0,6.1,111.4,1,19381.4
5,39314,1800,1,0,3.5,77.3,4,34295.18
10,123695,1800,3,0,1.5,102.0,1,23087.25
6,100963,1500,2,0,7.6,60.4,3,26503.17
5,61039,1800,1,0,2.5,81.3,2,33700.9
14,174064,1500,1,0,4.8,96.9,2,15134.28
1,7800,2000,1,1,5.4,67.8,3,39983.8
11,170862,1500,3,0,2.7,113.8,3,16931.29
11,120933,1500,1,0,1.9,69.4,5,22276.2
6,42413,1200,2,0,4.1,114.6,3,27002.37
4,31384,1200,3,0,9.6,73.0,4,26462.53
0,500,2500,1,0,6.5,119.7,3,49927.49
14,106040,1500,2,1,4.4,96.3,8,13111.31
15,96520,1200,4,1,1.4,65.1,2,9752.61
3,37666,2000,1,1,6.4,63.9,1,34779.16
0,500,1800,1,1,1.8,64.5,7,39032.48
1,10641,1000,3,1,5.9,95.4,2,26851.53
1,7302,1500,3,0,7.8,108.6,6,35884.57
13,200183,1200,2,0,4.8,84.2,4,10813.88
14,192373,1800,2,0,3.7,86.7,3,17064.33
2,22663,1200,1,0,1.4,95.4,1,32974.97
11,104258,1000,3,0,1.2,92.0,5,15800.73
2,28011,1000,1,0,4.9,101.3,1,28591.84
5,45752,1800,1,1,9.0,88.3,5,30214.14
9,83670,1000,2,0,3.2,102.8,3,19454.32
11,169180,2000,4,1,6.2,119.8,2,17138.14
13,145052,1200,3,0,7.2,81.0,0,13487.71
0,500,1800,1,0,1.5,60.7,4,40948.19
3,35260,1500,1,0,2.4,67.5,2,33607.19
4,46793,1500,3,0,4.0,93.2,3,31157.4
4,38624,1000,3,0,7.0,80.7,1,23911.12
15,128807,2000,2,0,5.0,116.4,1,19684.11
12,113073,2500,2,1,7.6,97.6,0,24311.21
5,43920,1000,1,0,8.8,91.2,3,25552.52
15,220000,1200,1,0,7.8,107.9,1,9052.89
7,60328,2500,1,0,9.9,75.5,2,37939.97
8,94411,1800,1,0,7.8,109.2,1,28786.72
6,81024,1200,1,0,8.7,60.2,2,25232.32
2,27770,1200,3,0,8.5,97.2,3,31338.52
14,142975,1800,1,0,7.6,116.1,2,19547.38
0,6480,2000,1,0,8.2,107.3,2,42729.75
2,33349,1800,2,0,9.4,111.2,2,35975.53
3,37366,3000,1,0,5.3,83.8,4,46396.83
4,61360,1500,1,0,6.7,109.5,3,31992.87
2,21369,1500,2,0,5.6,93.0,2,34400.48
0,500,1500,1,0,8.7,97.1,4,37635.94
10,81701,1500,2,0,4.9,63.5,2,21007.07
15,174567,1200,3,0,8.4,72.1,1,9743.11
1,8021,1000,1,0,8.2,93.1,2,32096.97
4,44811,1500,3,0,9.7,63.5,2,30480.84
8,124335,2000,3,0,3.2,104.5,2,27620.66
14,163797,1000,3,0,7.4,110.4,3,7651.12
11,116924,1500,2,1,7.8,115.2,2,16547.81
12,76980,1800,2,0,9.4,66.1,2,22982.28
9,138623,1800,2,1,9.2,116.4,1,20953.71
6,40602,2000,2,0,6.2,64.1,6,34588.16
3,10716,2000,1,0,6.2,88.4,4,37971.29
13,111019,2000,4,0,2.5,110.4,1,20966.95
12,83246,1000,2,0,9.8,64.2,0,16582.32
0,500,1500,2,1,3.3,61.1,0,34309.76
11,120124,1800,1,0,7.5,61.5,6,23120.72
1,4496,1200,1,0,8.2,90.7,5,34924.29
11,67744,1000,2,0,5.0,108.7,5,17811.84
13,92722,1200,2,0,2.9,67.6,2,16401.63
2,11352,1500,1,0,2.7,67.5,4,36294.29
6,42089,1500,1,1,8.7,94.1,5,25722.23
1,15997,1200,1,0,5.6,74.1,2,34921.36
9,71627,2000,2,1,1.8,103.8,2,26476.87
14,116367,2500,1,0,7.5,117.0,5,26430.95
1,5956,1200,4,0,3.3,106.0,2,30437.26
6,65928,2500,1,0,8.9,112.6,1,37629.96
15,79137,1000,1,1,3.8,91.2,1,10263.79
4,27093,2500,1,0,2.8,109.9,3,40750.69
2,24535,3000,2,0,1.8,71.0,3,47471.79
7,45305,1000,1,0,5.6,64.1,2,22742.86
8,85953,2000,2,0,5.1,99.4,2,29678.68
10,110566,3000,4,0,7.8,63.1,2,33073.89
5,48917,2500,1,0,5.2,113.5,5,38167.55
15,162044,3000,2,0,4.1,101.5,1,26974.34
8,109635,1800,1,0,3.4,117.1,5,27115.58
4,59152,1000,1,0,3.5,78.8,0,27302.92
15,123112,2000,1,1,9.4,89.2,2,16757.58
14,133910,1800,1,0,2.5,104.5,5,18452.7
7,55932,1800,2,1,9.9,74.6,5,25939.31
0,500,1500,2,1,3.9,92.5,3,33993.15
9,115404,1800,2,0,1.8,99.6,1,24873.75
8,60009,1200,2,0,3.2,118.7,2,23232.77
2,19530,2000,2,0,1.5,104.7,1,38849.51
10,156908,1000,1,0,8.1,67.1,0,15158.14
13,85486,2000,1,0,5.6,88.5,3,23986.88
1,4252,2000,1,0,4.0,95.3,0,44015.61
11,143776,1500,2,0,7.0,68.8,4,17886.42
2,17977,1500,4,0,6.7,85.9,3,32288.85
11,63699,1500,1,1,9.5,77.0,6,22848.01
6,39993,3000,2,0,9.7,67.1,6,42879.22
0,3506,2000,2,0,7.1,90.7,3,40800.24
15,92469,1500,3,1,8.4,69.9,3,12947.3
2,17414,1200,2,0,8.1,95.4,4,31097.32
9,64253,1200,2,0,5.4,70.2,4,22576.75
2,16087,1500,2,1,7.3,103.4,4,31286.23
14,173452,2500,3,0,1.7,71.7,2,21498.82
11,103423,2000,1,0,7.8,113.8,4,27244.2
12,139450,1200,3,0,9.7,61.6,4,14534.5
6,68220,2500,1,1,1.8,91.3,3,35305.78
7,103172,1500,3,0,8.5,79.2,5,24498.7
10,62230,2500,1,0,9.4,73.5,5,32899.65
12,172297,1200,1,0,3.0,88.3,5,14896.83
13,154356,1800,1,0,5.7,110.5,4,20492.28
0,9239,2500,1,0,9.4,114.9,2,47305.49
10,138601,1200,1,0,9.6,78.2,3,19784.43
1,11626,1800,1,1,2.2,69.3,3,37192.28
4,37834,3000,1,0,4.1,103.2,3,45988.24
13,197007,1200,1,0,7.3,94.9,3,12311.04
4,41167,1000,2,0,3.0,72.1,5,26871.01
12,146660,1800,3,0,3.9,105.6,1,17974.18
7,105758,1500,2,0,1.2,91.1,2,24809.83
3,30257,1000,1,0,2.4,99.2,2,29487.52
5,78310,1500,1,0,6.1,81.6,4,28951.58
8,75337,2000,3,0,6.9,86.3,2,29013.76
12,166401,1200,1,0,6.8,70.8,0,14631.14
9,106038,1500,1,0,8.0,105.4,4,24174.63
14,112648,2000,3,0,4.7,69.4,2,20727.62
13,130808,1800,4,1,3.5,106.7,4,14714.1
12,108605,2000,1,0,1.1,107.9,4,23182.28
9,64695,1500,2,1,2.9,104.8,3,22850.38
4,18261,3000,1,1,3.8,61.2,0,43350.57
6,60237,1800,2,0,2.6,76.4,1,30716.55
1,4672,1000,1,1,1.2,88.1,2,29231.51
5,39782,2500,1,0,2.4,95.7,1,39620.23
14,181018,1500,2,0,7.0,115.2,4,14843.86
6,83800,1200,1,0,6.7,82.5,6,26476.44
1,18368,1200,2,0,9.4,112.5,2,33423.38
10,95554,1800,1,0,8.2,69.8,3,25403.33
15,217444,1000,3,0,6.1,82.3,4,5822.23
13,158514,1200,3,0,2.2,63.1,4,12083.27
4,30660,1200,1,1,6.1,104.5,4,26549.08
7,45639,1500,2,0,1.6,69.0,7,27900.53
8,103350,1500,1,0,4.9,75.4,0,24352.19
3,24646,1800,1,0,4.5,106.5,3,36967.95
4,46516,1200,1,0,4.9,92.1,6,29390.58
3,48462,1000,3,0,3.5,60.8,1,27211.84
15,91766,1800,3,0,7.2,60.1,4,17563.3
11,73718,1500,3,0,8.6,90.6,1,21471.8
13,212005,1800,3,0,7.9,78.3,3,14194.09
